0	擅长使用药物治疗白血病的医生专家
1	擅长使用手术治疗膀胱癌的医生专家
2	擅长使用手术治疗胆囊癌的医生专家
3	擅长使用手术治疗肺癌的医生专家
4	擅长使用药物治疗肺癌的医生专家
5	擅长使用介入治疗肝癌的医生专家
6	擅长使用手术治疗肝癌的医生专家
7	擅长使用手术治疗骨癌的医生专家
8	擅长使用手术治疗甲状腺癌的医生专家
9	擅长使用手术治疗结直肠癌的医生专家
10	擅长使用药物治疗淋巴癌的医生专家
11	擅长使用手术治疗卵巢癌的医生专家
12	擅长使用手术治疗脑肿瘤的医生专家
13	擅长使用手术治疗皮肤癌的医生专家
14	擅长使用手术治疗前列腺癌的医生专家
15	擅长使用手术治疗乳腺癌的医生专家
16	擅长使用手术治疗肾癌的医生专家
17	擅长使用手术治疗食管癌的医生专家
18	擅长使用手术治疗外阴癌的医生专家
19	擅长使用手术治疗胃癌的医生专家
20	擅长使用药物治疗胃癌的医生专家
21	擅长使用手术治疗胰腺癌的医生专家
22	擅长使用手术治疗子宫内膜癌的医生专家
23	擅长使用药物治疗膀胱癌的医生专家
24	擅长使用药物治疗前列腺癌的医生专家
25	擅长使用药物治疗乳腺癌的医生专家
26	擅长使用药物治疗肾癌的医生专家
27	擅长使用药物治疗胃癌的医生专家
